dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000000,0.000000,0.000300,0.059974,5.997415,599.741458,6.283157
0.010000,0.000000,0.000000,0.001499,0.179922,11.994829,599.741458,6.283163
0.010000,0.000000,0.000000,0.004198,0.359845,17.992244,599.741458,6.283176
0.010000,0.002996,0.000000,0.008996,0.599741,23.989658,599.741458,0.000015
0.010000,0.010493,0.000000,0.016493,0.899612,29.987073,599.741458,0.000052
0.010000,0.020988,0.000001,0.026988,1.199483,29.987073,-0.000000,0.000105
0.010000,0.034483,0.000003,0.040483,1.499354,29.987073,0.000000,0.000172
0.010000,0.050975,0.000006,0.056975,1.799224,29.987073,-0.000000,0.000255
0.010000,0.070467,0.000012,0.076467,2.099095,29.987073,0.000000,0.000352
0.010000,0.092957,0.000022,0.098957,2.398966,29.987073,-0.000000,0.000465
0.010000,0.118446,0.000035,0.124446,2.698837,29.987073,0.000000,0.000593
0.010000,0.146934,0.000054,0.152934,2.998707,29.987073,-0.000000,0.000735
0.010000,0.178420,0.000080,0.184420,3.298578,29.987073,-0.000000,0.000893
0.010000,0.212906,0.000113,0.218906,3.598449,29.987073,0.000000,0.001066
0.010000,0.250389,0.000157,0.256389,3.898319,29.987073,0.000000,0.001254
0.010000,0.290872,0.000212,0.296872,4.198190,29.987073,-0.000000,0.001457
0.010000,0.334353,0.000280,0.340353,4.498061,29.987073,0.000000,0.001675
0.010000,0.380833,0.000363,0.386833,4.797932,29.987073,-0.000000,0.001908
0.010000,0.430312,0.000464,0.436312,5.097802,29.987073,0.000000,0.002157
0.010000,0.482789,0.000584,0.488789,5.397673,29.987073,0.000000,0.002421
0.010000,0.538265,0.000726,0.544265,5.697544,29.987073,-0.000000,0.002700
0.010000,0.596739,0.000892,0.602740,5.997415,29.987073,0.000000,0.002994
0.010000,0.658212,0.001086,0.664214,6.297285,29.987073,-0.000000,0.003304
0.010000,0.722684,0.001309,0.728686,6.597156,29.987073,0.000000,0.003629
0.010000,0.790155,0.001566,0.796157,6.897027,29.987073,0.000000,0.003969
0.010000,0.860624,0.001858,0.866626,7.196897,29.987073,0.000000,0.004325
0.010000,0.934091,0.002189,0.940095,7.496768,29.987073,0.000000,0.004696
0.010000,1.010557,0.002563,1.016562,7.796639,29.987073,0.000000,0.005083
0.010000,1.090022,0.002983,1.096028,8.096510,29.987073,-0.000000,0.005485
0.010000,1.172485,0.003453,1.178492,8.396380,29.987073,0.000000,0.005903
0.010000,1.257947,0.003976,1.263955,8.696251,29.987073,-0.000000,0.006336
0.010000,1.346407,0.004556,1.352417,8.996122,29.987073,0.000000,0.006785
0.010000,1.437865,0.005198,1.443878,9.295993,29.987073,0.000000,0.007250
0.010000,1.532322,0.005905,1.538337,9.595863,29.987073,-0.000000,0.007731
0.010000,1.629777,0.006683,1.635795,9.895734,29.987073,0.000000,0.008227
0.010000,1.730230,0.007535,1.736252,10.195605,29.987073,-0.000000,0.008739
0.010000,1.833681,0.008466,1.839707,10.495476,29.987073,0.000000,0.009267
0.010000,1.940130,0.009482,1.946161,10.795346,29.987073,0.000000,0.009811
0.010000,2.049577,0.010586,2.055614,11.095217,29.987073,-0.000000,0.010372
0.010000,2.162022,0.011785,2.168065,11.395088,29.987073,0.000000,0.010948
0.010000,2.277465,0.013083,2.283516,11.694958,29.987073,-0.000000,0.011540
0.010000,2.395906,0.014486,2.401965,11.994829,29.987073,0.000000,0.012149
0.010000,2.517344,0.015999,2.523412,12.294700,29.987073,-0.000000,0.012774
0.010000,2.641780,0.017629,2.647859,12.594571,29.987073,0.000000,0.013415
0.010000,2.769213,0.019380,2.775304,12.894441,29.987073,0.000000,0.014073
0.010000,2.899643,0.021260,2.905747,13.194312,29.987073,-0.000000,0.014747
0.010000,3.033070,0.023274,3.039190,13.494183,29.987073,0.000000,0.015437
0.010000,3.169495,0.025428,3.175631,13.794054,29.987073,-0.000000,0.016145
0.010000,3.308915,0.027730,3.315071,14.093924,29.987073,0.000000,0.016869
0.010000,3.451333,0.030185,3.457510,14.393795,29.987073,0.000000,0.017610
0.010000,3.596747,0.032801,3.602947,14.693666,29.987073,-0.000000,0.018367
0.010000,3.745157,0.035585,3.751383,14.993536,29.987073,0.000000,0.019142
0.010000,3.896562,0.038543,3.902818,15.293407,29.987073,-0.000000,0.019934
0.010000,4.050964,0.041684,4.057251,15.593278,29.987073,0.000000,0.020742
0.010000,4.208361,0.045014,4.214683,15.893149,29.987073,-0.000000,0.021568
0.010000,4.368753,0.048542,4.375114,16.193019,29.987073,-0.000000,0.022412
0.010000,4.532140,0.052274,4.538543,16.492890,29.987073,0.000000,0.023272
0.010000,4.698521,0.056220,4.704972,16.792761,29.987073,0.000000,0.024150
0.010000,4.867897,0.060387,4.874399,17.092632,29.987073,0.000000,0.025046
0.010000,5.040267,0.064784,5.046824,17.392502,29.987073,-0.000000,0.025959
